vernacular	tree	leaf	la	ldmc	lt	sla	tlp
COPAI	6910	2	57.212463348416286	0.55	0.18133333333333332	86.58524363337197	-2.4094
COPAI	6910	2	57.212463348416286	0.48368421052631577	0.2	627.0128361045598	-2.4094
COPAI	6910	2	57.212463348416286	3.5026315789473683	0.2	86.58524363337197	-2.4094
QUARU	7541	1	11.829708597285066	0.44843749999999993	0.234	83.07992495309568	-1.84156
QUARU	7541	2	12.15443257918552	0.4706451612903226	0.24	84.00963903249917	-1.77916
CUPUI	8116	1	NA	NA	0.226	NA	-1.86652
CUPUI	8116	2	NA	NA	0.20866666666666667	NA	-1.88732
CUPUI	8833	1	NA	NA	0.22733333333333333	NA	-1.5046
CUPUI	8833	2	NA	NA	0.22333333333333333	NA	-1.567
JARAN	4646	1	110.2369628959276	0.41360869565217395	0.17633333333333331	116.40510223447502	-1.65852
JARAN	4646	2	117.6395547511312	0.433956043956044	0.20233333333333337	100.5746984459093	-1.67516
FREIJ	6416	1	27.176191855203616	NA	0.25133333333333335	NA	-1.36316
FREIJ	6416	2	64.01494298642534	NA	0.25	NA	-1.36524
QUARU	8499	1	26.355601809954745	0.45890410958904115	0.238	78.93386641453365	-1.83116
QUARU	8499	2	24.155840723981896	0.4004918032786885	0.22133333333333333	99.30334893490127	-1.6647599999999998
CUPUI	8188	1	NA	NA	0.19433333333333333	NA	-1.88316
CUPUI	8188	2	NA	NA	0.21866666666666668	NA	-1.8686
ANDIR	266	3	73.62036199095022	0.46485106382978725	0.31433333333333335	67.39603446933232	NA
ANDIR	266	4	43.27804162895927	0.5317834394904458	0.328	51.844544202600474	NA
ANDIR	266	5	51.214964705882345	0.45780303030303027	0.24033333333333337	85.23289876548385	NA
ANDIR	270	3	50.693733936651576	0.36176991150442483	0.216	124.0130167978677	NA
ANDIR	270	4	89.5728108597285	0.35185430463576156	0.18433333333333332	168.59230113450062	NA
ANDIR	270	5	35.6048	0.37931506849315066	0.20833333333333331	128.6339351808729	NA
ANDIR	656	3	111.853614479638	0.41792452830188676	0.23233333333333336	100.99825337323676	NA
ANDIR	656	4	117.56429683257916	0.4366326530612245	0.2303333333333333	91.59127902693604	NA
