vernacular	tree	leaf	tlp	area_excluded	area_included	lt	sw	dw
JARAN	6248	2	-2.0869999999999997	90.37388959276018	90.76495203619908	0.25133333333333335	1.83	0.9766
PIQUI	5968	1	-1.60028	97.00299728506786	97.14319999999998	0.09766666666666668	1.64	0.472
PIQUI	5968	2	-1.56284	103.90303348416288	104.00142624434388	0.165	1.61	0.4263
CASTA	6568	1	-1.89148	309.393665158371	309.4622334841629	0.20733333333333331	4.89	4.5855
CASTA	6568	2	-1.91644	178.25367601809953	178.2910262443439	0.209	10.21	4.9012
VIROL	6636	1	-2.0682799999999997	22.27272036199095	22.340173755656107	0.19566666666666663	0.4	0.1656
VIROL	6636	2	-2.0662000000000003	37.054490497737554	37.2236814479638	0.17633333333333334	0.67	0.2806
ANGEL	6528	1	-2.12652	99.34686334841628	100.8001773755656	0.154	1.91	0.9436
ANGEL	6528	2	-2.01836	114.99549321266969	116.7771547511312	0.15833333333333333	2.2	1.0667
JUTAI	5961	1	-1.5794800000000002	18.418678733031673	18.521531221719453	0.14633333333333332	0.27	0.1032
JUTAI	5961	2	-1.71468	22.36163619909502	22.456684162895925	0.136	0.33	0.1363
JARAN	6515	1	-1.3694000000000002	47.21180090497737	47.31353846153846	0.182	0.78	0.2003
JARAN	6515	2	-1.36108	34.230367420814474	34.33015384615384	0.27233333333333337	0.67	0.1787
PIQUI	5971	1	-1.6481199999999998	134.89786787330314	135.6236886877828	0.31533333333333335	1.87	0.6718
PIQUI	5971	2	-1.57324	209.9626244343891	211.0293357466063	0.4493333333333333	3.04	0.8669
PIQUI	6510	1	-1.77708	33.11181176470588	33.42259909502262	0.4443333333333333	0.82	NA
PIQUI	6510	2	-1.7542	42.42623348416289	42.48504615384615	0.48633333333333334	1.07	NA
CASTA	6616	1	-1.89148	NA	NA	NA	NA	NA
CASTA	6616	2	-2.02668	NA	NA	NA	NA	NA
VIROL	6631	1	-1.56908	17.656343891402713	17.756966515837103	0.24166666666666667	0.43	NA
VIROL	6631	2	-1.38396	15.562222624434389	15.664238914027148	0.2526666666666667	0.35	NA
COPAI	6894	1	-1.97468	54.84044524886877	55.02524524886877	0.17933333333333332	1.17	0.6205
COPAI	6894	2	-2.02668	43.83829502262443	44.06323257918552	0.18466666666666667	1.05	0.5536
