Family,Species,Median Gmax,CV[log] Gmax,Median NCI,Median TWI,N trees,Median DBH,"DBH 0,95"
Sapotaceae,Chrysophyllum sanguinolentum,"0,672114","0,710030863","3308,442845","1,585525155",23,"11,4591559","16,42479013"
Sapotaceae,Manilkara bidentata,"0,6357655","1,107307613","3187,339812","1,876330376",12,"12,97112786","19,2895791"
Sapotaceae,Micropholis guyanensis subsp. duckeana,"0,6724645","0,7840713155","2766,554422","1,807895541",11,"12,5732405","17,83331137"
Sapotaceae,Pouteria bangii,"1,03225","0,7538402389","3044,442268","1,396754622",11,"13,05070533","16,15422672"
Sapotaceae,Pouteria gonggrijpii,"0,654044","0,8114852207","3697,644774","1,518558443",14,"12,09577567","16,72718452"
Sapotaceae,Pouteria guianensis,"0,76785475","0,8356956925","2876,458275","1,759104252",16,"12,41408556","16,55211408"
Sapotaceae,Pradosia cochlearia,"0,47666425","0,9184546752","3563,589493","1,729122162",78,"11,93662073","17,50704374"
Simaroubaceae,Homalolepis cedron,"0,483552","0,527034068","3293,541245","1,671677768",68,"10,66338119","12,09577567"
Simaroubaceae,Simarouba amara,"1,861115","0,6213633247","2940,930262","1,765481114",22,"17,82535363","37,81521448"
Urticaceae,Cecropia obtusa,"4,49741","0,5604841476","2645,696467","1,821535945",240,"18,30281846","27,6929601"
Urticaceae,Cecropia sciadophylla,"3,48504","0,5647794508","2748,419507","1,831347227",309,"18,93943823","30,66915753"
Urticaceae,Pourouma bicolor subsp. bicolor,"1,4445275","0,8554295379","2838,62035","2,099356651",16,"14,64225476","30,97950967"
Urticaceae,Pourouma melinonii,"1,54414","0,7200200949","2736,228363","1,8029567",69,"17,50704374","31,35352379"
Violaceae,Amphirrhox longifolia,"0,4759895","0,4565061973","3692,950787","1,509613514",13,"10,66338119","12,25493062"
Vochysiaceae,Qualea rosea,"0,8961465","1,317921765","3197,550338","1,577047408",82,"14,16478994","28,01126998"
